Справочник,№ значения,Значение справочника
ВОЗМОЖНА_ИПОТЕКА,1,ДА
ВОЗМОЖНА_ИПОТЕКА,2,НЕТ
МАТЕРИАЛ_НАРУЖНЫХ_СТЕН,1,ДЕРЕВЯННЫЕ
МАТЕРИАЛ_НАРУЖНЫХ_СТЕН,2,ИНОЕ
МАТЕРИАЛ_НАРУЖНЫХ_СТЕН,3,"КАРКАСНЫЕ ДЕРЕВЯННЫЕ (СЭНДВИЧ-ПАНЕЛИ, КАНАДСКИЕ ДОМА И Т.П.)"
МАТЕРИАЛ_НАРУЖНЫХ_СТЕН,4,КИРПИЧНЫЕ
МАТЕРИАЛ_НАРУЖНЫХ_СТЕН,5,ЛЕГКОБЕТОННЫЕ БЛОКИ С ДАЛЬНЕЙШЕЙ ОБЛИЦОВКОЙ ПАНЕЛЯМИ
МАТЕРИАЛ_НАРУЖНЫХ_СТЕН,6,ЛЕГКОБЕТОННЫЕ БЛОКИ С ДАЛЬНЕЙШЕЙ ШТУКАТУРКОЙ И ОТДЕЛКОЙ
МАТЕРИАЛ_НАРУЖНЫХ_СТЕН,7,"ЛЕГКОБЕТОННЫЕ БЛОКИ С ОБЛИЦОВКОЙ ПАНЕЛЯМИ (НАВЕСНЫЕ ПАНЕЛИ, БЛОК-ХАУС И Т.П.)"
МАТЕРИАЛ_НАРУЖНЫХ_СТЕН,8,ПАНЕЛЬНЫЕ (СБОРНО-ЖЕЛЕЗОБЕТОННЫЕ)
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,1,НЕТ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,2,ПОДВАЛ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,3,ЦОКОЛЬ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,4,СТИЛОБАТ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,5,1 ЭТАЖ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,6,1-2 ЭТАЖИ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,7,1-3 ЭТАЖИ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,8,1 И 3 ЭТАЖИ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,9,2-3 ЭТАЖИ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,10,ЦОКОЛЬ - 1 ЭТАЖ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,11,ПОДВАЛ - 1 ЭТАЖ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,12,ЦОКОЛЬ - 2 ЭТАЖ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,13,ПОДВАЛ - 2 ЭТАЖ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,14,ЦОКОЛЬ - 3 ЭТАЖ
НАЛИЧИЕ_И_МЕСТО_РАСПОЛОЖЕНИЯ_КОММЕРЧЕСКИХ_ПОМЕЩЕНИЙ,15,ПОДВАЛ - 3 ЭТАЖ
ОГРАЖДЕНИЕ_ТЕРРИТОРИИ,1,ДА
ОГРАЖДЕНИЕ_ТЕРРИТОРИИ,2,НЕТ
ОГРАЖДЕНИЕ_ТЕРРИТОРИИ,3,НЕ УКАЗАНО
ОСТЕКЛЕНИЕ_ЛОДЖИЙ_/_БАЛКОНОВ,1,ДА
ОСТЕКЛЕНИЕ_ЛОДЖИЙ_/_БАЛКОНОВ,2,НЕТ
ОСТЕКЛЕНИЕ_ЛОДЖИЙ_/_БАЛКОНОВ,3,НЕИЗВЕСТНО
ОСТЕКЛЕНИЕ_ЛОДЖИЙ_/_БАЛКОНОВ,4,ПО ЖЕЛАНИЮ ПОКУПАТЕЛЯ
ОХРАНА,1,НЕТ
ОХРАНА,2,КОНСЬЕРЖ
ОХРАНА,3,КПП НА ВЪЕЗД
ОХРАНА,4,"ВИДЕОНАБЛЮДЕНИЕ, КПП И ОХРАНА ВНУТРЕННЕЙ ТЕРРИТОРИИ"
ОХРАНА,5,НЕИЗВЕСТНО
ПОТРЕБИТЕЛЬСКИЙ_КЛАСС,1,ЭКОНОМ-КЛАСС
ПОТРЕБИТЕЛЬСКИЙ_КЛАСС,2,СРЕДНИЙ
ПОТРЕБИТЕЛЬСКИЙ_КЛАСС,3,БИЗНЕС-КЛАСС
ПОТРЕБИТЕЛЬСКИЙ_КЛАСС,4,ЭЛИТНЫЙ
СТАДИЯ_СТРОИТЕЛЬСТВА,1,0. ПРОЕКТ
СТАДИЯ_СТРОИТЕЛЬСТВА,2,1. ПРОЕКТНАЯ ДЕКЛАРАЦИЯ
СТАДИЯ_СТРОИТЕЛЬСТВА,3,2. НАЧАЛО СТРОИТЕЛЬСТВА - ЗАКЛАДКА ФУНДАМЕНТА
СТАДИЯ_СТРОИТЕЛЬСТВА,4,3. ВОЗВЕДЕНИЕ СТЕН ДОМА
СТАДИЯ_СТРОИТЕЛЬСТВА,5,4. ЗАВЕРШЕНИЕ МОНТАЖА И ПОДКЛЮЧЕНИЕ ВНУТРЕННЕГО ИНЖЕНЕРНОГО ОБОРУДОВАНИЯ
СТАДИЯ_СТРОИТЕЛЬСТВА,6,5. ВВЕДЕННЫЙ В  ЭКСПЛУАТАЦИЮ  ДОМ
СТАДИЯ_СТРОИТЕЛЬСТВА,7,"6. ЖИЛЬЕ, ОФОРМЛЕННОЕ В СОБСТВЕННОСТЬ ЗАСТРОЙЩИКА"
СТАТУС_РЕАЛИЗАЦИИ,1,В ПРОДАЖЕ
СТАТУС_РЕАЛИЗАЦИИ,2,ПРОДАН
СТАТУС_РЕАЛИЗАЦИИ,3,НЕ ДЛЯ ПРОДАЖИ (СОЦИАЛЬНЫЙ)
СТАТУС_РЕАЛИЗАЦИИ,4,ПЛАНИРУЕМЫЙ
СТАТУС_РЕАЛИЗАЦИИ,5,ПРОДАЖИ ПРИОСТАНОВЛЕНЫ
СТАТУС_СТРОИТЕЛЬСТВА,1,ВЕДЕТСЯ
СТАТУС_СТРОИТЕЛЬСТВА,2,НЕ ВЕДЕТСЯ (ПРИОСТАНОВЛЕНО)
СТАТУС_СТРОИТЕЛЬСТВА,3,ЗАВЕРШЕНО
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,1,АЛТАЙСКИЙ КРАЙ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,2,АМУРСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,3,АРХАНГЕЛЬСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,4,АСТРАХАНСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,5,БЕЛГОРОДСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,6,БРЯНСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,7,ВЛАДИМИРСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,8,ВОЛГОГРАДСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,9,ВОЛОГОДСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,10,ВОРОНЕЖСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,11,ЕВРЕЙСКАЯ АВТОНОМНАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,12,ЗАБАЙКАЛЬСКИЙ КРАЙ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,13,ИВАНОВСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,14,ИРКУТСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,15,КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,16,КАЛИНИНГРАДСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,17,КАЛУЖСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,18,КАМЧАТСКИЙ КРАЙ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,19,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,20,КЕМЕРОВСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,21,КИРОВСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,22,КОСТРОМСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,23,КРАСНОДАРСКИЙ КРАЙ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,24,КРАСНОЯРСКИЙ КРАЙ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,25,КУРГАНСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,26,КУРСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,27,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,28,ЛИПЕЦКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,29,МАГАДАНСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,30,МОСКВА
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,31,МОСКОВСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,32,МУРМАНСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,33,НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,34,НИЖЕГОРОДСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,35,НОВГОРОДСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,36,НОВОСИБИРСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,37,ОМСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,38,ОРЕНБУРГСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,39,ОРЛОВСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,40,ПЕНЗЕНСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,41,ПЕРМСКИЙ КРАЙ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,42,ПРИМОРСКИЙ КРАЙ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,43,ПСКОВСКАЯ ОБЛАСТЬ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,44,РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ)
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,45,РЕСПУБЛИКА АЛТАЙ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,46,РЕСПУБЛИКА БАШКОРТОСТАН
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,47,РЕСПУБЛИКА БУРЯТИЯ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,48,РЕСПУБЛИКА ДАГЕСТАН
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,49,РЕСПУБЛИКА ИНГУШЕТИЯ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,50,РЕСПУБЛИКА КАЛМЫКИЯ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,51,РЕСПУБЛИКА КАРЕЛИЯ
СУБЪЕКТ РОССИЙСКОЙ ФЕДЕРАЦИИ ,52,РЕСПУБЛИКА КОМИ
